,Neighborhood,Zip,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,1960/Cypress,77065,29.927675,-95.60547,0.0,Spa,Mobile Phone Shop,Supermarket,Sandwich Place,Hawaiian Restaurant,Baseball Field,Video Game Store,Supplement Shop,Convenience Store,Pet Store
1,Aldine Area,77039,29.909122999999997,-95.33683,,,,,,,,,,,
2,Alief,77072,29.700898,-95.59002,0.0,Noodle House,Gas Station,Pizza Place,Vietnamese Restaurant,Massage Studio,Sandwich Place,Garden Center,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
3,Alvin North,77511,29.411479999999997,-95.24475,0.0,Fast Food Restaurant,Pizza Place,American Restaurant,Pharmacy,Fried Chicken Joint,Grocery Store,Taco Place,Sandwich Place,Yoga Studio,Garden Center
4,Alvin South,77511,29.411479999999997,-95.24475,0.0,Fast Food Restaurant,Pizza Place,American Restaurant,Pharmacy,Fried Chicken Joint,Grocery Store,Taco Place,Sandwich Place,Yoga Studio,Garden Center
5,Atascocita North,77346,30.001902,-95.16962,0.0,Department Store,Pizza Place,Fast Food Restaurant,Fried Chicken Joint,Mobile Phone Shop,Miscellaneous Shop,Mexican Restaurant,Pet Store,Breakfast Spot,Shoe Store
6,Atascocita South,77396,29.951621000000003,-95.26785,0.0,Breakfast Spot,Electronics Store,Moving Target,Mobile Phone Shop,Dive Bar,Donut Shop,General Travel,General Entertainment,Diner,Gastropub
7,Fall Creek Area,77396,29.951621000000003,-95.26785,0.0,Breakfast Spot,Electronics Store,Moving Target,Mobile Phone Shop,Dive Bar,Donut Shop,General Travel,General Entertainment,Diner,Gastropub
8,Bacliff/San Leon,77518,29.504389,-94.98779,0.0,Thrift / Vintage Store,Dessert Shop,Mexican Restaurant,Casino,Yoga Studio,Gastropub,Gas Station,Garden Center,Furniture / Home Store,Frozen Yogurt Shop
9,Bayou Vista,77563,29.339307,-95.00317,,,,,,,,,,,
10,Hitchcock,77563,29.339307,-95.00317,,,,,,,,,,,
